Name,Time Taken (seconds)
bremen_subgraph_100.gr,3.872
bremen_subgraph_150.gr,1.66
bremen_subgraph_20.gr,0.004
bremen_subgraph_200.gr,
bremen_subgraph_250.gr,
bremen_subgraph_300.gr,
bremen_subgraph_50.gr,0.024
test.gr,0.002
