Name,Isolated,Single Edge,Dominating,Set Size
bremen_subgraph_20.gr,0,0,9,0
bremen_subgraph_300.gr,0,2,18,2
bremen_subgraph_100.gr,0,0,4,0
bremen_subgraph_250.gr,0,2,0,2
bremen_subgraph_50.gr,0,0,4,0
test.gr,0,0,8,0
bremen_subgraph_200.gr,0,2,12,2
bremen_subgraph_150.gr,0,2,6,2
