Name,Solution Size,Time Taken (seconds), Exec Time (seconds)
bremen_subgraph_100.gr,29,0,12.111
bremen_subgraph_150.gr,42,0,9.178
bremen_subgraph_20.gr,9,0,9.177
bremen_subgraph_200.gr,57,0,9.178
bremen_subgraph_250.gr,75,0,12.11
