Name,Solution Size,Time Taken (seconds)
bremen_subgraph_100.gr,29,0.44
bremen_subgraph_150.gr,40,0.23
bremen_subgraph_20.gr,9,0.01
bremen_subgraph_200.gr,55,2.74
bremen_subgraph_250.gr,72,10.43
bremen_subgraph_300.gr,82,6.89
bremen_subgraph_50.gr,17,0.07
test.gr,-1,-1
