Name,Solution Size,Time Taken (seconds)
exact_001.gr,
exact_002.gr,
exact_003.gr,
exact_004.gr,
exact_005.gr,
exact_006.gr,
exact_007.gr,
exact_008.gr,
exact_009.gr,
exact_010.gr,
exact_011.gr,
exact_012.gr,1440,348.67
exact_013.gr,
exact_014.gr,1440,1038.61
exact_015.gr,
exact_016.gr,1440,848.52
exact_017.gr,
exact_018.gr,
exact_019.gr,
exact_020.gr,
exact_021.gr,
exact_022.gr,
exact_023.gr,1122,1454.16
exact_024.gr,
exact_025.gr,
exact_026.gr,
exact_027.gr,
exact_028.gr,
exact_029.gr,
exact_030.gr,
exact_031.gr,
exact_032.gr,
exact_033.gr,
exact_034.gr,
exact_035.gr,
exact_036.gr,
exact_037.gr,
exact_038.gr,217,494.79
exact_039.gr,3134,1.37
exact_040.gr,
exact_041.gr,1104,374.73
exact_042.gr,
exact_043.gr,975,119.78
exact_044.gr,
exact_045.gr,
exact_046.gr,
exact_047.gr,
exact_048.gr,
exact_049.gr,
exact_050.gr,
