Name,Vertices,Edges,Density,Max Degree,Lower Bound,Upper Bound,Triangles,Average Degree,Std Dev Degree,Isolated,Single Edge,Dominating,Counting Rule,Set Size,Time (s),Time Taken (seconds),Solution Size,Time Taken (seconds)_lp,Solution Size_scip,Time Taken (seconds)_scip,Solution Size_scip_reduced,Time Taken (seconds)_scip_reduced,Solution Size_domsat,Time Taken (seconds)_domsat, Exec Time (seconds),Solution Size_domsat_reduced,Time Taken (seconds)_domsat_reduced, Exec Time (seconds)_domsat_reduced,Solution Size_nusc,Time Taken (seconds)_nusc, Exec Time (seconds)_nusc,Solution Size_nusc_reduced,Time Taken (seconds)_nusc_reduced, Exec Time (seconds)_nusc_reduced
exact_023.gr,4464,6009,0.000603227,6,1067.05,1524,259,2.6922,0.698675,0,190,83,0,190,0.80822,,1256.2,0.21,1312.0,141.17,1122.0,135.87,1312,12.54,1799.7,1122.0,1.96,1804.3,1312,9.74,1799.41,1122.0,12.82,1802.07
exact_024.gr,8340,16080,0.000462419,32,716.295,2450,6220,3.85612,3.29718,0,0,5361,0,0,1.11123,,1490.0,0.22,,,,,1921,24.41,1800.81,1921.0,22.06,1810.08,1921,100.97,1799.42,1922.0,50.83,1810.5
exact_025.gr,5837,7728,0.000453724,6,1394.93,2058,285,2.64794,0.775625,0,353,101,0,353,1.17718,,1681.2,0.4,,,,,1754,471.31,1800.95,1401.0,145.16,1807.02,1753,548.42,1802.35,1400.0,211.54,1809.13
exact_026.gr,4396,5899,0.000610649,5,1052.38,1503,381,2.6838,0.761698,0,226,117,0,226,0.697615,,1248.68,0.22,1295.0,368.61,1069.0,389.64,1295,8.14,1798.03,1069.0,13.49,1803.9,1295,38.62,1799.87,1069.0,20.98,1804.32
exact_027.gr,8526,11287,0.000310577,6,2057.72,2961,724,2.64767,0.739425,0,477,267,0,477,2.60491,,2447.15,0.5,2546.0,1410.82,,,2548,46.36,1802.34,2071.0,52.79,1819.87,2548,370.86,1800.35,2071.0,88.13,1821.18
exact_028.gr,16035,20735,0.000161296,7,3943.52,5664,1081,2.58622,0.736993,0,1016,389,0,1016,8.91807,,4680.85,0.75,,,,,4868,101.34,1799.75,3853.0,544.66,1855.48,4869,521.92,1798.03,3856.0,557.2,1863.67
exact_029.gr,13508,17313,0.000189781,5,3348.13,4797,841,2.56337,0.728291,0,896,310,0,896,6.16095,,3970.89,0.65,4128.0,376.62,3232.0,715.66,4132,23.04,1799.42,3236.0,77.53,1841.46,4129,94.61,1800.96,3235.0,654.6,1846.33
exact_030.gr,19295,25091,0.000134797,7,4702.3,6774,1124,2.60078,0.725924,0,1100,443,0,1100,13.3721,,5596.94,0.93,5819.0,839.21,,,5824,1379.66,1799.59,4724.0,389.64,1907.27,5828,187.12,1799.58,4728.0,607.54,1890.21
exact_031.gr,7241,9523,0.000363301,7,1759.08,2484,497,2.6303,0.708357,0,371,178,0,371,1.95531,,2074.2,0.29,,,,,2153,304.52,1799.19,1782.0,40.64,1816.38,2153,693.94,1800.8,1783.0,624.67,1814.74
exact_032.gr,19555,25830,0.000135102,6,4717.48,6790,1485,2.64178,0.75753,0,1199,514,0,1199,13.1895,,5615.25,1.2,,,,,5856,395.78,1800.41,4656.0,498.68,1899.54,5856,1506.74,1800.98,4657.0,1186.2,1884.2
exact_033.gr,19462,28019,0.000147955,6,4311.31,6682,579,2.87935,0.824576,0,773,166,0,773,17.4486,,5283.25,5.35,,,,,5561,891.52,1802.51,4787.0,331.93,1907.03,5563,445.28,1797.22,4788.0,665.9,1893.91
exact_034.gr,19555,26143,0.000136739,7,4651.04,6841,1202,2.67379,0.783364,0,1134,433,0,1134,16.2741,,5594.47,1.38,,,,,5847,1646.83,1799.58,4711.0,918.55,1897.44,5849,353.37,1802.81,4714.0,415.08,1886.92
exact_035.gr,8340,16080,0.000462419,36,716.064,2457,6220,3.85612,3.29121,0,0,5361,0,0,1.15949,,1490.0,0.2,,,,,1921,42.45,1799.57,1921.0,44.67,1807.08,1922,58.11,1800.32,1922.0,38.21,1806.13
exact_036.gr,19638,25873,0.000134185,6,4743.52,6829,1151,2.63499,0.731134,0,1027,415,0,1027,13.9004,,5632.08,1.62,,,,,5887,935.71,1800.96,4860.0,1322.71,1900.63,5888,1370.59,1799.44,4860.0,1482.2,1891.06
exact_037.gr,19925,26909,0.000135567,6,4715.68,6923,1250,2.70103,0.789327,0,1166,434,0,1166,16.6831,,5668.85,1.41,,,,,5915,1130.44,1799.42,4748.0,1583.47,1902.98,5916,401.39,1798.04,4752.0,309.31,1891.34
exact_038.gr,3570,44481,0.00698216,109,93.0197,478,272829,24.9193,20.6734,0,78,741,0,78,2.24562,,286.096,0.24,295.0,14.86,217.0,22.08,295,0.03,1798.04,217.0,0.04,1813.45,295,0.03,1802.52,217.0,0.03,1809.06
exact_039.gr,74491,728776,0.00116245,155,1636.72,15372,4118783,19.5668,22.9862,0,3554,18296,0,3554,543.031,,6662.18,2.94,6688.0,2.74,,,6688,5.18,1802.84,3134.0,3.02,4630.51,6688,2.28,1802.7,3134.0,2.3,4197.18
exact_040.gr,98361,4766139,0.0087867,1492,321.314,20756,79795288,96.9112,161.889,0,2589,20994,0,2589,4199.78,,4490.58,9.66,4495.0,12.9,,,4495,0.95,1799.99,,,,4495,2.4,1803.06,,,
exact_041.gr,4342,5682,0.000602909,6,1057.32,1523,217,2.61723,0.675598,0,193,93,0,193,0.722697,,1246.06,0.16,1297.0,67.9,1104.0,43.03,1297,34.11,1802.35,1104.0,40.57,1802.54,1297,16.06,1800.97,1104.0,16.87,1806.8
exact_042.gr,13488,17535,0.000192785,6,3306.95,4753,1081,2.60009,0.743341,0,901,398,0,901,6.13629,,3927.34,0.69,4086.0,243.64,3185.0,219.63,4091,1068.81,1799.42,3192.0,115.19,1842.39,4094,16.82,1799.59,3193.0,894.06,1841.48
exact_043.gr,4105,5515,0.000654719,6,980.75,1431,413,2.68697,0.767925,0,245,142,0,245,0.601366,,1172.46,0.15,1220.0,17.1,975.0,14.64,1220,5.82,1800.96,975.0,10.55,1803.38,1221,14.9,1799.44,975.0,310.61,1802.99
exact_044.gr,16479,21315,0.000156993,7,4051.38,5828,1157,2.58693,0.747722,0,1098,388,0,1098,9.10201,,4817.82,0.58,,,,,5010,281.32,1797.74,3911.0,1696.89,1865.23,5011,383.07,1799.43,3912.0,1172.96,1862.55
exact_045.gr,8074,10594,0.000325062,7,1967.81,2807,555,2.62423,0.735516,0,457,197,0,457,2.31247,,2324.13,0.28,2417.0,61.35,1960.0,86.43,2419,922.11,1802.35,1962.0,1046.63,1817.29,2421,80.39,1800.96,1963.0,327.17,1818.04
exact_046.gr,8340,16080,0.000462419,30,717.788,2436,6220,3.85612,3.27704,0,0,5360,0,0,1.11198,,1490.0,0.24,,,,,1921,485.59,1799.59,1921.0,483.45,1806.74,1921,1213.7,1800.83,1922.0,319.13,1807.34
exact_047.gr,8340,16080,0.000462419,34,717.258,2464,6220,3.85612,3.28085,0,0,5361,0,0,1.12156,,1490.0,0.23,,,,,1921,52.32,1799.57,1921.0,55.14,1806.69,1922,109.92,1798.04,1922.0,47.05,1809.97
exact_048.gr,8340,16080,0.000462419,34,715.216,2460,6220,3.85612,3.30009,0,0,5361,0,0,1.1132,,1490.0,0.23,,,,,1921,10.18,1799.58,1921.0,10.45,1810.39,1922,187.32,1801.12,1922.0,224.82,1806.92
exact_049.gr,8340,16080,0.000462419,34,718.087,2468,6220,3.85612,3.26708,0,0,5360,0,0,1.09662,,1490.0,0.21,,,,,1921,342.65,1800.97,1921.0,357.11,1806.74,1922,211.76,1799.59,1922.0,46.91,1810.37
exact_050.gr,8340,16080,0.000462419,30,718.539,2479,6220,3.85612,3.26135,0,0,5360,0,0,1.12032,,1490.0,0.22,,,,,1920,20.59,1800.96,1920.0,21.49,1810.35,1920,116.34,1800.81,1921.0,481.93,1808.72
