Name,Vertices,Edges,Density,Max Degree,Lower Bound,Upper Bound,Triangles,Average Degree,Std Dev Degree,Solution Size,Time Taken (seconds),Solution Size_scip,Time Taken (seconds)_scip,Solution Size_scip_reduced,Time Taken (seconds)_scip_reduced,Solution Size_highs_reduced,Time Taken (seconds)_highs_reduced,Isolated,Single Edge,Dominating,Set Size
exact_077.gr,141,7025,0.711753,130,1.07806,3,191505,99.6454,20.1825,2.0,0.06,2.0,0.02,2.0,0.01,2.0,0.06,0,0,77,0
exact_079.gr,143,6760,0.665813,133,1.06799,3,167014,94.5455,20.3675,2.0,0.02,2.0,0.01,2.0,0.01,2.0,0.03,0,0,44,0
exact_081.gr,143,7068,0.696149,136,1.04592,4,188477,98.8531,20.4522,2.0,0.05,2.0,0.01,2.0,0.01,2.0,0.05,0,0,70,0
exact_083.gr,164,10774,0.806075,158,1.03209,3,418298,131.39,23.487,2.0,0.01,2.0,0.03,2.0,0.02,2.0,0.01,0,0,89,0
exact_085.gr,200,13089,0.657739,147,1.35383,4,373436,130.89,6.45507,3.0,5.03,3.0,4.31,3.0,4.42,3.0,8.66,0,0,0,0
exact_087.gr,200,13930,0.7,164,1.21424,4,484808,139.3,18.4751,3.0,2.94,3.0,2.81,3.0,2.9,3.0,2.95,0,0,0,0
exact_089.gr,200,14834,0.745427,165,1.20859,3,543700,148.34,5.85614,3.0,5.83,3.0,6.52,3.0,3.04,3.0,5.88,0,0,0,0
exact_091.gr,1079,14630,0.0251556,41,57.2565,92,53419,27.1177,8.29842,,,,,-1.0,-1.0,-1.0,-1.0,29,0,1912,29
exact_093.gr,700,5977,0.0244308,18,36.8421,75,5278,17.0771,1.21763,,,,,,,,,0,0,0,0
exact_095.gr,822,4635,0.0137361,307,23.2945,173,988,11.2774,12.7057,86.0,5.44,86.0,4.42,86.0,5.07,86.0,5.46,0,0,4,0
exact_097.gr,899,2920,0.00723397,123,36.3788,396,2874,6.49611,12.5781,175.0,0.01,175.0,0.01,104.0,0.0,104.0,0.0,0,71,1,71
exact_099.gr,912,3041,0.00732037,134,35.7252,401,2534,6.66886,12.4154,161.0,0.01,161.0,0.01,98.0,0.0,98.0,0.0,0,63,1,63
exact_101.gr,1000,3984,0.00797598,84,29.8359,236,461,7.968,8.26263,109.0,19.35,109.0,52.36,109.0,54.47,109.0,19.38,0,0,0,0
exact_103.gr,1015,4994,0.00970453,17,77.3246,179,3094,9.84039,3.16479,,,,,,,,,0,0,0,0
exact_105.gr,1048,12856,0.023433,54,20.2496,170,10486,24.5344,9.10681,36.0,15.56,36.0,15.0,36.0,15.33,36.0,18.13,0,0,95,0
exact_107.gr,1082,12107,0.0207021,275,5.37857,70,0,22.3789,39.6004,37.0,0.11,37.0,0.06,36.0,0.06,36.0,0.11,0,1,0,1
exact_109.gr,1194,11805,0.0165749,300,4.15976,6,35735,19.7739,41.2381,6.0,0.02,6.0,0.07,6.0,0.07,6.0,0.02,0,0,0,0
exact_111.gr,1477,18499,0.0169712,69,27.9557,255,7970,25.0494,20.3401,120.0,1.26,120.0,9.95,120.0,10.16,120.0,1.26,0,0,0,0
exact_113.gr,1260,3767,0.0047493,7,157.5,282,12,5.97937,1.72688,,,,,,,,,0,0,0,0
exact_115.gr,1900,8797,0.00487625,27,108.744,381,99,9.26,3.9782,,,,,,,,,0,10,0,10
exact_117.gr,1409,21147,0.0213189,66,22.6105,52,138798,30.017,14.7838,34.0,0.02,34.0,0.03,-1.0,-1.0,-1.0,-1.0,0,0,12093,0
exact_119.gr,1473,9093,0.00838739,21,116.182,158,20936,12.3462,5.16302,133.0,0.46,133.0,0.05,-1.0,-1.0,-1.0,-1.0,0,16,1532,16
exact_121.gr,2113,6632,0.00297222,109,138.735,833,10404,6.27733,9.8132,479.0,0.01,479.0,0.01,288.0,0.01,288.0,0.0,0,191,102,191
exact_123.gr,1506,6146,0.00542327,54,59.4,339,35,8.16202,7.87394,200.0,6.39,200.0,6.78,133.0,6.84,133.0,1.4,0,67,0,67
exact_125.gr,1589,5273,0.00417939,35,166.424,410,4655,6.63688,3.62509,,,,,,,,,0,1,225,1
exact_127.gr,1678,4913,0.00349182,36,125.892,396,2,5.85578,4.43259,,,,,,,,,0,34,0,34
exact_129.gr,1721,5534,0.00373904,48,59.7519,179,0,6.43114,8.83045,,,,,,,,,0,9,0,9
exact_131.gr,1742,5118,0.00337507,31,133.036,430,4,5.876,4.24948,,,,,,,,,0,36,1,36
exact_133.gr,1813,6369,0.00387744,1334,17.1388,327,6619,7.02592,33.6799,75.0,0.02,75.0,0.02,69.0,0.01,69.0,0.01,0,6,703,6
